timestamp,m_lat,m_lon,l_lat,l_lon,x,y,z,std,rssi0,rssi1,rssi2,rssi3,nsd0,nsd1,nsd2,nsd3,x_r,y_r,z_r,std_r,rssi0_r,rssi1_r,rssi2_r,rssi3_r,nsd0_r,nsd1_r,nsd2_r,nsd3_r
2026-05-21T08:39:51.432182,-20.93480667,55.28929167,-20.93486026,55.28934635,6.99,4.43,1.41,3,-113.60966492,-115.40894318,-116.60282135,-118.38195038,-96.86888123,-99.69974518,-98.60068512,-97.46057129,6.99,4.43,1.41,3,-113.60966492,-115.40894318,-116.60282135,-118.38195038,-96.86888123,-99.69974518,-98.60068512,-97.46057129
2026-05-21T08:39:52.469114,-20.93480667,55.28929167,-20.93485725,55.28934875,6.98,4.37,1.36,2,-59.27280045,-63.27592087,-54.987957,-60.35080719,-100.43045807,-100.42021179,-98.38347626,-99.42731476,6.98,4.37,1.36,2,-59.27280045,-63.27592087,-54.987957,-60.35080719,-100.43045807,-100.42021179,-98.38347626,-99.42731476
2026-05-21T08:39:53.511833,-20.93480667,55.28929167,-20.93485774,55.28934795,6.72,4.73,1.36,2,-58.23480225,-60.70199203,-57.57474899,-59.29547501,-92.48329926,-91.96733093,-94.64677429,-92.68299103,6.72,4.73,1.36,2,-58.23480225,-60.70199203,-57.57474899,-59.29547501,-92.48329926,-91.96733093,-94.64677429,-92.68299103
2026-05-21T08:39:54.596401,-20.93480667,55.28929167,-20.93485864,55.28934811,6.71,4.85,1.36,2,-58.51799393,-59.34879303,-55.52997589,-59.8907814,-101.6530838,-103.08794403,-101.38198853,-102.80931854,6.71,4.85,1.36,2,-58.51799393,-59.34879303,-55.52997589,-59.8907814,-101.6530838,-103.08794403,-101.38198853,-102.80931854
2026-05-21T08:39:55.718027,-20.93480667,55.28929167,-20.93485999,55.28934715,6.66,4.84,1.36,1,-58.06555939,-61.0897522,-57.79853058,-59.54537201,-102.81054688,-102.56851959,-101.62651062,-103.2724762,6.66,4.84,1.36,1,-58.06555939,-61.0897522,-57.79853058,-59.54537201,-102.81054688,-102.56851959,-101.62651062,-103.2724762
2026-05-21T08:39:56.757971,-20.93480667,55.28929333,-20.93486149,55.28934648,6.77,4.92,1.13,3,-115.63424683,-116.60515594,-111.16854095,-113.23641205,-101.15539551,-102.29924011,-101.29354095,-102.70137024,6.77,4.92,1.13,3,-115.63424683,-116.60515594,-111.16854095,-113.23641205,-101.15539551,-102.29924011,-101.29354095,-102.70137024
2026-05-21T08:39:57.817808,-20.93480667,55.28929333,-20.93486444,55.28934463,6.74,4.9,1.17,2,-60.22534943,-63.39709473,-54.83688354,-59.38369751,-96.72042847,-96.71955109,-97.28923798,-94.37836456,6.74,4.9,1.17,2,-60.22534943,-63.39709473,-54.83688354,-59.38369751,-96.72042847,-96.71955109,-97.28923798,-94.37836456
2026-05-21T08:39:58.872072,-20.93480667,55.28929333,-20.93486348,55.28934491,6.87,4.64,1.41,2,-59.10743713,-61.1711731,-57.07566452,-59.34759521,-101.99878693,-101.99353027,-101.50866699,-102.95199585,6.87,4.64,1.41,2,-59.10743713,-61.1711731,-57.07566452,-59.34759521,-101.99878693,-101.99353027,-101.50866699,-102.95199585
2026-05-21T08:39:59.923388,-20.93480667,55.28929333,-20.93486145,55.28934683,7.04,4.46,1.4,2,-59.76443863,-61.5596199,-57.3064537,-58.06940842,-102.621521,-103.36533356,-102.16823578,-102.99907684,7.04,4.46,1.4,2,-59.76443863,-61.5596199,-57.3064537,-58.06940842,-102.621521,-103.36533356,-102.16823578,-102.99907684
2026-05-21T08:40:00.969179,-20.93480667,55.28929333,-20.93486043,55.28934777,7.11,4.33,1.36,2,-59.29172134,-62.90187073,-57.51857376,-58.582901,-101.24388885,-101.4985199,-100.37400055,-101.03053284,7.11,4.33,1.36,2,-59.29172134,-62.90187073,-57.51857376,-58.582901,-101.24388885,-101.4985199,-100.37400055,-101.03053284
